,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
1000,99.96901403858101,2.490003594837617,-31.24471224588342,0.1000077038556831,100.00776587831542,True,45.0,,,,
2000,199.93852407859595,4.960013333300594,-32.47943448391743,0.10000758051859318,200.015407918325,True,45.0,,,,
3000,299.90852612125855,7.410029116494115,-33.70416655333247,0.1000074581683536,300.02292711582754,True,45.0,,,,
4000,399.8790161677716,9.840050846512895,-34.91890829522163,0.10000733681943297,400.0303244667102,True,-10.0,,,,
5000,499.84999021931253,12.25007842615014,-36.12365955137648,0.10000721646538233,500.0376009669101,True,-10.0,,,,
6000,599.8214442770404,14.640111759013962,-37.31842016521841,0.10000709711170654,600.0447576124376,True,-23.0,,,,
7000,699.7933743420926,17.010150749527384,-38.503189981449395,0.10000697875073819,700.0517953993658,True,-23.0,,,,
8000,799.7657764155956,19.36019530275371,-39.67796884593554,0.10000686138386365,800.0587153238353,True,-23.0,,,,
9000,899.7386464986503,21.690245324803982,-40.842756606056355,0.1000067450166052,900.0655183820581,True,-23.0,,,,
10000,999.7119805923357,24.00030072242953,-41.99755311012268,0.10000662964177252,1000.0722055702884,True,-23.0,,,,
11000,1099.685774697724,26.290361403371207,-43.14235820819158,0.10000651526926915,1100.078777884878,True,-28.0,,,,
12000,1199.6600248158556,28.560427275835536,-44.277171751484275,0.10000640188747831,1200.0852363222086,True,-28.0,,,,
13000,1299.6347269477646,30.810498248960357,-45.4019935921533,0.1000062895037981,1300.0915818787432,True,-28.0,,,,
14000,1399.6098770944573,33.04057423298946,-46.51682358409744,0.1000061781167735,1400.0978155510063,True,-43.0,4000.4468282323787,0.0,0.0,8000.893656464759
14999,1499.4854954423117,35.248455045279115,-47.620561735588126,0.10000606784007705,1500.003932267856,True,-43.0,4095.368309260579,0.0,0.0,8190.736618521158
15999,1599.4615291835162,37.43856077932287,-48.71541758882813,0.10000595844559167,1600.009945270776,True,-43.0,4189.5259126392175,0.0,0.0,8379.051825278439
16999,1699.437998946427,39.608671258960385,-49.80028116249014,0.10000585004784517,1700.01584937836,True,-43.0,4282.824179974152,0.0,0.0,8565.648359948304
17999,1799.4149007319866,41.75878639752045,-50.87515231559519,0.10000574264561288,1800.0216455873674,True,-52.0,5291.015840821898,0.0,0.0,10582.031681643799
